"Category","blue","green","nir","rededge","red","Dataset","Level","Area","Predcat"
"Rock",0.0635249465703964,0.0794556811451912,0.132113993167877,0.112042285501957,0.0793504938483238,"Man",NA,"Akeroya","Green algae"
"Rock",0.0496889315545559,0.0606606006622314,0.0870445147156715,0.0694312825798988,0.0592078007757664,"Man",NA,"Akeroya","Sand"
"Rock",0.0279518980532885,0.0365025512874126,0.0627366080880165,0.0482688620686531,0.032041247934103,"Man",NA,"Akeroya","Sand"
"Heather",0.0461707562208176,0.0598114095628262,0.23298966884613,0.156182631850243,0.0801905542612076,"Man",NA,"Akeroya","Heather"
"Heather",0.0783880800008774,0.104002520442009,0.225533857941628,0.161059692502022,0.110045164823532,"Man",NA,"Akeroya","Rock"
"Heather",0.0389794856309891,0.053463414311409,0.260820776224136,0.161505937576294,0.0765781551599503,"Man",NA,"Akeroya","Heather"
"Heather",0.076330155134201,0.113561861217022,0.252126902341843,0.166422709822655,0.120867624878883,"Man",NA,"Akeroya","Rock"
"Heather",0.0551121160387993,0.0935617387294769,0.309811413288116,0.173985302448273,0.0854588896036148,"Man",NA,"Akeroya","Rock"
"Grass",0.0360437482595444,0.0856935977935791,0.418086379766464,0.217275738716125,0.0657147169113159,"Man",NA,"Akeroya","Grass"
"Grass",0.0388863943517208,0.087859220802784,0.433657288551331,0.226193442940712,0.0738066509366035,"Man",NA,"Akeroya","Grass"
"Grass",0.0358584374189377,0.0735303163528442,0.350073903799057,0.187246263027191,0.0653845071792603,"Man",NA,"Akeroya","Heather"
"Grass",0.0385607592761517,0.0886492058634758,0.428227186203003,0.223915085196495,0.0739523470401764,"Man",NA,"Akeroya","Grass"
"Shrubs",0.0360159575939178,0.0480965189635754,0.171301394701004,0.103787556290627,0.0521726123988628,"Man",NA,"Akeroya","Heather"
"Shrubs",0.0337133668363094,0.0843500867486,0.436487883329391,0.192180126905441,0.0372047238051891,"Man",NA,"Akeroya","Shrubs"
"Shrubs",0.0433017313480377,0.0987398773431778,0.469032734632492,0.209631025791168,0.0582622885704041,"Man",NA,"Akeroya","Grass"
"Shrubs",0.0478971786797047,0.092846654355526,0.408769458532333,0.218659847974777,0.0681941285729408,"Man",NA,"Akeroya","Grass"
"Shrubs",0.0450852140784264,0.0893709287047386,0.417025864124298,0.227607026696205,0.0663732215762138,"Man",NA,"Akeroya","Grass"
"Shrubs",0.0441382601857185,0.0899854078888893,0.367964297533035,0.214239433407784,0.0660676807165146,"Man",NA,"Akeroya","Green algae"
"Heather",0.0260435994714499,0.0500931069254875,0.259213417768478,0.145945161581039,0.0427341498434544,"Man",NA,"Akeroya","Heather"
"Heather",0.0269756205379963,0.0464311651885509,0.267042070627213,0.140009224414825,0.0429210588335991,"Man",NA,"Akeroya","Heather"
"Heather",0.0242821797728539,0.0516693480312824,0.280157268047333,0.144563019275665,0.0365349762141705,"Man",NA,"Akeroya","Shrubs"
"Shrubs",0.0190175417810678,0.0394762828946114,0.238540098071098,0.0955949649214745,0.0186095871031284,"Man",NA,"Akeroya","Shrubs"
"Shrubs",0.0116699021309614,0.0190925784409046,0.141251310706139,0.0516405999660492,0.00965253636240959,"Man",NA,"Akeroya","Fucus vesiculosus"
